,revenue,reward_id,campaign_id,application_id
2014-07-26 21:05:19.113249,0.149,53d4180f-8ac4-c521-a9c4-5d125a723150,4,0
2014-07-26 21:05:42.484797,0.349,53d41826-9fae-103b-c5f1-7a5e5bb25cd8,29,1
2014-07-26 21:06:15.534803,0.149,53d41847-4d13-e4f9-01e8-4d4a4fb35b3d,4,3
2014-07-26 21:06:35.489925,0.149,53d4185b-3257-2d90-892c-56ebd446b8ff,4,2
2014-07-26 21:06:38.085536,0.149,53d4185e-ee08-9a40-f6a7-0e1359fa78ba,4,2
2014-07-26 21:06:41.136725,0.149,53d41861-d294-e18e-d3b2-75962ab37484,4,0
2014-07-26 21:06:59.924956,0.2,53d41874-8f3a-0b33-ffed-d98d5d851529,37,0
2014-07-26 21:07:25.170752,0.45,53d4188d-9695-49d9-5d64-602a509f3194,65,3
2014-07-26 21:07:36.389862,0.149,53d41898-1671-cc31-287c-6be2f5be4faa,4,3
2014-07-26 21:08:39.628254,0.149,53d418d7-0ff0-dbc6-e1b1-e1c91b219c0e,4,2
2014-07-26 21:09:29.834610,0.149,53d41909-39d9-24b5-f6d7-00f4928adf1b,4,2
2014-07-26 21:09:51.880863,0.149,53d4191f-c313-2e68-4c22-e7cf4672e870,4,3
2014-07-26 21:09:52.305966,0.149,53d41920-4dfa-4411-e1dd-d3d4579082ad,4,3
2014-07-26 21:10:21.944887,0.499,53d4193e-d60c-d872-5036-d8f256633f4f,40,1
2014-07-26 21:10:24.816046,0.149,53d41940-2bce-4eda-226b-9335138f81fe,43,3
2014-07-26 21:10:26.459801,0.499,53d41942-8d7b-bfc6-8c99-89661ec68824,1,1
2014-07-26 21:10:39.249045,0.299,53d4194f-e6d9-7cb4-da66-746da889eb81,15,1
2014-07-26 21:10:45.811914,0.149,53d41955-02af-f93d-4998-815897bcd24a,4,3
2014-07-26 21:10:51.032898,0.149,53d4195b-ee87-a5e0-c1e1-2b0efc4a2a74,4,3
2014-07-26 21:11:08.801945,0.2,53d4196c-f816-efcf-108e-230aa1856c8e,35,0
2014-07-26 21:11:23.023621,0.149,53d4197b-07ad-d042-f723-a7a6ae9b62f8,4,3
2014-07-26 21:11:29.776499,0.149,53d41982-0823-448c-ec36-738fedb67ebe,4,0
2014-07-26 21:11:36.484405,0.149,53d41988-65c8-aaa4-2fb2-0e89f5e19da2,4,3
2014-07-26 21:11:39.583115,0.149,53d4198b-ebb9-07f7-5968-0427c951a652,4,2
2014-07-26 21:12:09.985851,0.149,53d419aa-052d-4ac8-db57-efb040fd0295,4,3
2014-07-26 21:12:27.213547,2.0,53d419bb-7653-cdb1-35dc-ab335fad9a05,12,1
2014-07-26 21:12:32.335453,0.149,53d419c0-28c6-fdc8-c051-8fa887242789,4,0
2014-07-26 21:13:38.607346,0.899,53d41a02-1050-c843-92e0-8d38352160e1,25,3
2014-07-26 21:14:30.681497,0.849,53d41a36-b541-b91e-c515-a5e76bb6af81,49,0
2014-07-26 21:14:57.454041,0.149,53d41a51-9358-956f-4120-a1fdd919f88f,4,3
2014-07-26 21:17:50.395799,0.149,53d41afe-e003-960f-e0e4-92aef1b90d2e,4,3
2014-07-26 21:17:51.182787,0.899,53d41aff-e4f5-d941-8b5b-41e45fbaf951,25,3
2014-07-26 21:17:59.463403,0.299,53d41b07-3a3c-6411-3628-3bf060267793,15,1
2014-07-26 21:18:28.500691,0.149,53d41b24-819f-3dbd-0658-f8660b20d866,4,3
2014-07-26 21:18:40.672790,0.349,53d41b30-ae53-1cfe-dc3f-3a97e346787a,3,1
2014-07-26 21:19:07.057215,0.149,53d41b4b-8a01-5321-3f22-ff1e3611d977,4,3
2014-07-26 21:19:32.872876,0.149,53d41b64-0804-37f4-290c-414a42694f38,4,0
2014-07-26 21:19:38.937666,0.45,53d41b70-9d00-8853-8293-fdad86b0f13b,22,1
2014-07-26 21:19:54.599032,0.149,53d41b7a-0c96-ba1f-313a-beeb65ba0a30,4,2
2014-07-26 21:20:07.486909,0.899,53d41b87-671b-03a9-bba8-7462c70a5c12,25,3
2014-07-26 21:20:09.527976,0.64,53d41b89-8b78-503b-e426-6e7caff0051a,5,1
2014-07-26 21:21:00.065823,0.149,53d41bbc-d214-3ee1-b753-9d3d7a89087e,4,3
2014-07-26 21:21:43.922435,0.149,53d41bed-909d-2f9d-a238-999dbf9a682a,4,0
2014-07-26 21:21:53.512429,0.899,53d41bf1-3da1-f589-eee8-d8f2933130ec,25,1
2014-07-26 21:22:00.926776,0.149,53d41bf8-987a-2c14-93bd-f6db081168a1,4,3
2014-07-26 21:22:09.365781,0.149,53d41c01-e765-14aa-2940-696af2b26875,4,3
2014-07-26 21:22:16.587113,0.149,53d41c08-546f-a2e7-c12b-1232fa59f49c,4,0
2014-07-26 21:22:52.168449,0.149,53d41c2c-e362-74a0-2027-09c25005d1ba,4,3
2014-07-26 21:23:05.815945,0.149,53d41c39-d527-b7a7-ee2f-aa75018146d1,4,0
2014-07-26 21:24:19.457798,0.2,53d41c83-7226-8515-4002-7c64e0c4ae0e,37,0
2014-07-26 21:25:30.701413,0.2,53d41cca-355d-8c4c-5ab5-f1bf590b0819,37,3
2014-07-26 21:25:36.677086,0.64,53d41cd0-bf35-b83e-970e-a92d5fe8a462,8,1
2014-07-26 21:27:06.947842,0.149,53d41d2b-db54-9918-8867-4bd77f2683fa,4,2
2014-07-26 21:27:29.224738,0.45,53d41d41-c8e8-722b-cfaa-216e26e9c7e0,65,3
2014-07-26 21:28:03.892832,0.149,53d41d63-efe8-fc3a-e5b8-3c74d5d17a1d,4,0
2014-07-26 21:28:22.215920,0.499,53d41d76-0e3b-1fc4-145d-b8a1c107033b,33,1
